,title,price,rating,image,description,url
274,"Cinnamon Candy 6oz candy by Claey's Candy, 3 Pack",$5.14,4.7 ,https://m.media-amazon.com/images/I/418VTwETurL._SX300_SY300_QL70_FMwebp_.jpg,"6oz candy by Claey's Candy. Pack of 3. Packaging may vary. The information provided here at TheOnlineDrugStore is strictly to be used for informational purposes only. The Online Drugstore does not represent or warrant the product details, ingredients and nutritional value, and any other product information to be accurate or complete.",https://www.amazon.com/Cinnamon-Candy-candy-Claeys-Pack/dp/B089TVRX3B/ref=sr_1_218?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-218
275,"Cinnamon Discs Hard Candy, Individually Wrapped (1 Pound Bag - Approx. 75 Count)",$13.99,3.5 ,https://m.media-amazon.com/images/I/51Pllen3vnL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/LaetaFood-Cinnamon-Discs-Individually-Wrapped/dp/B0BHZWXN8F/ref=sr_1_219?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-219
276,"Bulk Candy Variety Pack, 2 LB - Assorted Individually Wrapped Treats with Laffy Taffy, Now and Later, Nerds | Easter Candy for Kids' Parties, Pinatas, Snack Lovers | Family-Friendly Assortment",$11.49,3.9 ,https://m.media-amazon.com/images/I/519oJCIKpuL._SX300_SY300_QL70_FMwebp_.jpg,"Our Bulk Candy Variety Pack is a wonderland of sweet treats, perfect for kids and families! This 2-pound assortment of individually wrapped candies is tailor-made for little ones who love variety. Whether you're throwing a birthday bash, filling a pinata for a children's party, or just stocking up on family-friendly snacks, our candy bulk assortment is your ideal pick. Packed with a range of kid-favorite candies, this mix is designed to delight young ones at any event. It's an essential addition to any children's party, playdate, or special treat day. Each piece is individually wrapped, ensuring safety and freshness, making them easy to share and enjoy. Bring home our Bulk Candy Variety Pack and watch the faces of your little ones light up with joy. It's more than just candy; it's a box full of fun and happiness, ready to make any moment special for kids and families alike.",https://www.amazon.com/Bulk-Candy-Variety-Pack-Family-Friendly/dp/B0CTRXKF82/ref=sr_1_220?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-220
277,Cinnamon Discs Hard Candy - Bulk 1 Pound Individually Wrapped Red Cinnamon Candies,$14.99,4.1 ,https://m.media-amazon.com/images/I/510A53RnPWL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Cinnamon-Discs-Hard-Candy-Individually/dp/B0CRCNPTH5/ref=sr_1_221?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-221
278,"SweetGlob Old Fashioned Large Rock Sugar Candy Gems, Lump Sugar Rock Crystals (Cotton Candy, 1 Pound)",$9.99,4.3 ,https://m.media-amazon.com/images/I/41KyTw-OsHL._SX300_SY300_QL70_FMwebp_.jpg,"Rock candy crystal (rock sugar) is made by a crystallization process as diamond produces in nature, just with different ingredients. This process breaks apart sugar's molecular crystal lattice. After removing all impurities, in a high temperature and a specific time, the process allows producing larger and purer crystal of sugar that is known as classic rock candy crystals. Actual colors may vary. This is due to computer monitors displaying colors differently and everyone can see these colors differently. We try extremely hard to ensure our photos are as life-like as possible, but please understand the actual color may vary slightly from your monitor.",https://www.amazon.com/SweetGlob-Fashioned-Large-Crystals-Cotton/dp/B0BBHB77LR/ref=sr_1_222?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-222
279,"Concord Foods Candy Apple Kit, 5 oz",$8.99,4.4 ,https://m.media-amazon.com/images/I/51207efGeML._SX300_SY300_QL70_FMwebp_.jpg,Concord Foods Candy Apple Kit.,https://www.amazon.com/Concord-Foods-Candy-Apple-Kit/dp/B01NAM3BIJ/ref=sr_1_223?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-223
280,Botan Rice Candy (6 Pack) with 2 Gosutoys Stickers,$25.36,4.6 ,https://m.media-amazon.com/images/I/51NvaXhMNKL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Botan-Rice-Candy-Gosutoys-Stickers/dp/B0BCC43KBZ/ref=sr_1_224?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-224
281,"LaetaFood Butter Cream Toffee Hard Candy, Individually Wrapped (2 Pound Bag)",$8.99,4.3 ,https://m.media-amazon.com/images/I/61yaYaaqClL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/LaetaFood-Butter-Cream-Toffee-Yellow/dp/B08D6WGD97/ref=sr_1_225?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-225
282,Unicornucopia Cotton Candy 3oz - 6 Flavor Rainbow Cotton Candy - Unicorn Birthday Party Favors Candy for Party Bags - Individual Cotton Candy Favors Goodie Bag Stuffers Bulk Carnival Candy Rainbow Party Favor for Kids Birthday,$14.99,4.2 ,https://m.media-amazon.com/images/I/419XkoYVNAL._SX300_SY300_QL70_FMwebp_.jpg,"Unicornucopia - Super fun candy for super fun people! Our Unicorn Cotton Candy is the latest in a line of crazy good treats - Premium yums for hard core candy lovers! You’ll LOVE our products or we’ll refund or replace them at no cost to you - Guaranteed to be the tastiest, freshest, candy in town!FUN candy for kids school party favors, candy buffet, rainbow parties, unicorn cotton candy stuffers, unicorns candy, gag gifts & stocking stuffers - Great cotton candy gift for any candy loverGreat for a Laugh – ""Unicorn Flavor"" perfect for kids candy party favors, unicorn party favor, birthday party favors, birthday treat bags, (Add some Unicorn Poop for all your party favor candy) - Perfect rainbow candy for candy buffet and cotton candy bulk optionsAllergen Free – Our unicorn treats have NO Gluten, Soy, Dairy, Lactose, Nuts, or Tree Nuts, Shellfish - We offer only the BEST Unicorn candies and cotton candy party favors",https://www.amazon.com/Unicornucopia-Cotton-Candy-3oz-Individually/dp/B0B4VGKWV4/ref=sr_1_226?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-226
283,"Ginger Hard Candy, Individually Wrapped Pieces, The Sweet and Spicy Natural Remedy, Made with Real Ginger Extract (Original 12 Oz)",$14.99,4.5 ,https://m.media-amazon.com/images/I/51oFO0ucaRL._SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/Natural-Perfect-Soothing-Stomach-Original/dp/B0C3525247/ref=sr_1_227?crid=1CD9QQYL8F4AN&dib=eyJ2IjoiMSJ9.uOMHSUWyiljJGNmwNe5o9kKyF62mtlK8f9VOO6SR7TP2m_AV9bLCpd0dRIAjPJM9eKXoDCOkfxE2JbndCDrT-Ia0XJSkFYBFhV5mbSJ6oKJTLuiPXN9j-blUAiaZKN31ZOw3mEkn1EqPY7K77KzSv3JvC_mp2T-Q7rvsQAbas0B1ZghydXE7NvSK25UV41n2gbST5E62w8eCMluv3Xw9KWjIBFW_V4IwYxfbpdpvRpspKZgZw8Q985YGQP2nfG4EBsxhuzWwq2KcY7aMCo8mgClY0vkUV1lO31d6mY19uqw.BBL4_r3cTLd15BZWKseFzb4gC4kkSdcd1_HZHinQXHc&dib_tag=se&keywords=candy&qid=1710724426&sprefix=candy%2Caps%2C102&sr=8-227
